media_vehicle,media_form,criteria_id,criteria_name,description
Facebook,Short Form or Social,1,Branded Early,Is the product or brand shown within the first 2 seconds?
Facebook,Short Form or Social,2,Strong Hook,Does the video start with a strong hook such as a curiosity-inducing question or an attention-grabbing visual?
Facebook,Short Form or Social,3,Visual Engagement,"Are dynamic camera movements (e.g., panning, zooming) or setting changes used to maintain interest?"
Facebook,Short Form or Social,4,Relatability,"Does the video highlight specific, real-life scenarios (e.g., muddy dogs, stubborn odors)?"
Facebook,Short Form or Social,5,Problem-Solution - Pain Point,Does the video identify a recognizable pain point? 
Facebook,Short Form or Social,6,Problem-Solution - Solution,"If a pain point is mentioned, does the video demonstrate how the product solves that pain point?"
Facebook,Short Form or Social,7,Authentic Human Connection,Does the video include direct dialogue or testimonials from relatable people or influencers that make the ad feel conversational?
Facebook,Short Form or Social,8,In-Video Product Usage,Is the product shown in use within the video?
Facebook,Short Form or Social,9,Product Integration,"Is the product integrated into routine or relatable scenarios to provide sensory proof of effectiveness (e.g., smells good, looks clean) and ease of use?"
Facebook Reels,Short Form or Social,1,Branded Early,Is the product or brand shown within the first 2 seconds?
Facebook Reels,Short Form or Social,2,Strong Hook,Does the video start with a strong hook such as a curiosity-inducing question or an attention-grabbing visual?
Facebook Reels,Short Form or Social,3,Visual Engagement,"Are dynamic camera movements (e.g., panning, zooming) or setting changes used to maintain interest?"
Facebook Reels,Short Form or Social,4,Relatability,"Does the video highlight specific, real-life scenarios (e.g., muddy dogs, stubborn odors)?"
Facebook Reels,Short Form or Social,5,Problem-Solution - Pain Point,Does the video identify a recognizable pain point? 
Facebook Reels,Short Form or Social,6,Problem-Solution - Solution,"If a pain point is mentioned, does the video demonstrate how the product solves that pain point?"
Facebook Reels,Short Form or Social,7,Authentic Human Connection,Does the video include direct dialogue or testimonials from relatable people or influencers that make the ad feel conversational?
Facebook Reels,Short Form or Social,8,In-Video Product Usage,Is the product shown in use within the video?
Facebook Reels,Short Form or Social,9,Product Integration,"Is the product integrated into routine or relatable scenarios to provide sensory proof of effectiveness (e.g., smells good, looks clean) and ease of use?"
Instagram,Short Form or Social,1,Branded Early,Is the product or brand shown within the first 2 seconds?
Instagram,Short Form or Social,2,Strong Hook,Does the video start with a strong hook such as a curiosity-inducing question or an attention-grabbing visual?
Instagram,Short Form or Social,3,Visual Engagement,"Are dynamic camera movements (e.g., panning, zooming) or setting changes used to maintain interest?"
Instagram,Short Form or Social,4,Relatability,"Does the video highlight specific, real-life scenarios (e.g., muddy dogs, stubborn odors)?"
Instagram,Short Form or Social,5,Problem-Solution - Pain Point,Does the video identify a recognizable pain point? 
Instagram,Short Form or Social,6,Problem-Solution - Solution,"If a pain point is mentioned, does the video demonstrate how the product solves that pain point?"
Instagram,Short Form or Social,7,Authentic Human Connection,Does the video include direct dialogue or testimonials from relatable people or influencers that make the ad feel conversational?
Instagram,Short Form or Social,8,In-Video Product Usage,Is the product shown in use within the video?
Instagram,Short Form or Social,9,Product Integration,"Is the product integrated into routine or relatable scenarios to provide sensory proof of effectiveness (e.g., smells good, looks clean) and ease of use?"
Instagram Reels,Short Form or Social,1,Branded Early,Is the product or brand shown within the first 2 seconds?
Instagram Reels,Short Form or Social,2,Strong Hook,Does the video start with a strong hook such as a curiosity-inducing question or an attention-grabbing visual?
Instagram Reels,Short Form or Social,3,Visual Engagement,"Are dynamic camera movements (e.g., panning, zooming) or setting changes used to maintain interest?"
Instagram Reels,Short Form or Social,4,Relatability,"Does the video highlight specific, real-life scenarios (e.g., muddy dogs, stubborn odors)?"
Instagram Reels,Short Form or Social,5,Problem-Solution - Pain Point,Does the video identify a recognizable pain point? 
Instagram Reels,Short Form or Social,6,Problem-Solution - Solution,"If a pain point is mentioned, does the video demonstrate how the product solves that pain point?"
Instagram Reels,Short Form or Social,7,Authentic Human Connection,Does the video include direct dialogue or testimonials from relatable people or influencers that make the ad feel conversational?
Instagram Reels,Short Form or Social,8,In-Video Product Usage,Is the product shown in use within the video?
Instagram Reels,Short Form or Social,9,Product Integration,"Is the product integrated into routine or relatable scenarios to provide sensory proof of effectiveness (e.g., smells good, looks clean) and ease of use?"
Linear TV (15s),Long Form,1,Communicate Superior Brand Benefit & Equity,Is the brand and/or benefit central to the drama in the video?
Linear TV (15s),Long Form,2,Clear Benefit Visuals,Does the video include clear benefit visuals that highlight what makes the brand superior?
Linear TV (15s),Long Form,3,Get and Hold Attention with TV Drama,"Does the video use TV drama (i.e. engaging sound design, being surprisingly familiar) to break through the clutter of TV commercials?"
Linear TV (15s),Long Form,4,Emotional Connection,"Does the video leverage drama to evoke a positive reaction towards the brand (i.e make you laugh, cry, or feel)?"
Linear TV (15s),Long Form,5,Leverages Brand Assets in a TV-Relevant Way,"Are brand assets (logos, signature audio, jingles, colors) integrated in a way suited to TV?"
Linear TV (15s),Long Form,6,Audio Branding Emphasis,Is there a strong emphasis on audio assets that reinforce brand identity?
Linear TV (15s),Long Form,7,Simple & Clear,"Does the video use familiar scenes, characters, or settings to keep the drama simple?"
Linear TV (15s),Long Form,8,Product Integration,Is the product demo well integrated into the drama?
Linear TV (30s),Long Form,1,Communicate Superior Brand Benefit & Equity,Is the brand and/or benefit central to the drama in the video?
Linear TV (30s),Long Form,2,Clear Benefit Visuals,Does the video include clear benefit visuals that highlight what makes the brand superior?
Linear TV (30s),Long Form,3,Get and Hold Attention with TV Drama,"Does the video use TV drama (i.e. engaging sound design, being surprisingly familiar) to break through the clutter of TV commercials?"
Linear TV (30s),Long Form,4,Emotional Connection,"Does the video leverage drama to evoke a positive reaction towards the brand (i.e make you laugh, cry, or feel)?"
